Location,UWI,Reading Time,Average Amps (A) (Raw),Drive Frequency (Hz) (Raw),Intake Pressure (psi) (Raw),Discharge Pressure (psi) (Raw),Intake Temperature (F) (Raw),Motor Temperature (F) (Raw),Vibration (gravit) (Raw),Virtual Rate (BFPD) (Raw)
SKW-15,SKW-15,2025-07-28 02:07:00,19.1,45.0,799.200000000353,2244.60000000003,97.7,123.299999996,0.00815772968,1275.9256482297144
SKW-15,SKW-15,2025-07-28 02:08:00,18.6,45.0,799.600000000636,2244.39999999989,97.800000008,121.600000004,0.00713801347,1280.3727395232777
SKW-15,SKW-15,2025-07-28 02:11:00,17.8,45.0,799.500000000565,2245.59999999929,97.899999998,120.000000002,0.00611829726,1286.5511151236722
SKW-15,SKW-15,2025-07-28 02:12:00,19.0,45.0,799.400000000494,2245.99999999957,97.899999998,119.400000008,0.00611829726,1277.4256647199484
SKW-15,SKW-15,2025-07-28 02:14:00,20.1,45.0,799.200000000353,2246.6,98.099999996,120.599999996,0.00713801347,1266.6629808465975
SKW-15,SKW-15,2025-07-28 02:15:00,21.2,45.0,799.500000000565,2248.09999999961,98.099999996,120.799999994,0.00713801347,1411.895393961313
SKW-15,SKW-15,2025-07-28 02:16:00,21.1,45.0,798.499999999857,2246.6,98.099999996,122.0,0.00611829726,1410.6410039855878
SKW-15,SKW-15,2025-07-28 02:19:00,21.0,45.0,795.000000000279,2253.30000000039,98.099999996,122.9,0.00509858105,1409.599288688776
SKW-15,SKW-15,2025-07-28 02:20:00,21.0,45.0,795.500000000633,2254.49999999979,98.099999996,123.400000004,0.00713801347,1409.4316109538092
SKW-15,SKW-15,2025-07-28 02:22:00,17.9,45.0,798.399999999786,2259.30000000029,98.099999996,123.400000004,0.00713801347,1285.3900718600041
SKW-15,SKW-15,2025-07-28 02:23:00,18.2,45.0,798.499999999857,2259.90000000071,98.099999996,121.899999992,0.00611829726,1283.423295884587
SKW-15,SKW-15,2025-07-28 02:24:00,17.8,45.0,798.699999999998,2260.69999999983,98.099999996,121.299999998,0.00611829726,1286.3771533883178
SKW-15,SKW-15,2025-07-28 02:25:00,20.3,45.0,798.499999999857,2261.40000000032,98.200000004,120.500000006,0.00713801347,1387.8466121753706
SKW-15,SKW-15,2025-07-28 02:27:00,19.9,45.0,798.699999999998,2262.59999999972,98.200000004,122.100000008,0.00815772968,1268.4481523543911
SKW-15,SKW-15,2025-07-28 02:29:00,21.0,45.0,796.900000000174,2261.30000000025,98.299999994,122.500000004,0.00611829726,1409.4897982792734
SKW-15,SKW-15,2025-07-28 02:33:00,20.7,45.0,795.500000000633,2274.39999999938,98.299999994,123.400000004,0.00713801347,1405.9151657725747
SKW-15,SKW-15,2025-07-28 02:36:00,17.3,45.0,797.999999999503,2281.09999999977,98.299999994,121.600000004,0.00713801347,1289.6647067552956
SKW-15,SKW-15,2025-07-28 02:37:00,17.3,45.0,797.999999999503,2281.09999999977,98.299999994,121.600000004,0.00713801347,1289.6647067552956
SKW-15,SKW-15,2025-07-28 02:38:00,19.7,45.0,797.899999999432,2283.50000000002,98.400000002,120.599999996,0.00713801347,1270.7715292965395
SKW-15,SKW-15,2025-07-28 02:39:00,20.3,45.0,797.400000000528,2283.50000000002,98.499999992,121.299999998,0.00713801347,1387.6542766903726
SKW-15,SKW-15,2025-07-28 02:41:00,19.8,45.0,798.099999999574,2288.50000000066,98.6,122.300000006,0.00611829726,1269.3934469039896
SKW-15,SKW-15,2025-07-28 02:42:00,21.0,45.0,797.69999999929,2290.10000000035,98.6,122.199999998,0.00713801347,1409.4105582864531
SKW-15,SKW-15,2025-07-28 02:44:00,21.0,45.0,795.799999999395,2292.30000000045,98.6,123.400000004,0.00611829726,1409.2927637859943
SKW-15,SKW-15,2025-07-28 02:45:00,20.8,45.0,794.499999999925,2296.00000000017,98.6,123.099999998,0.00713801347,1407.1575081106982
SKW-15,SKW-15,2025-07-28 02:46:00,20.6,45.0,794.700000000066,2298.80000000071,98.6,123.8,0.00509858105,1388.4195078484356
SKW-15,SKW-15,2025-07-28 02:47:00,20.5,45.0,794.900000000208,2300.20000000025,98.6,123.8,0.00611829726,1384.692531847148
SKW-15,SKW-15,2025-07-28 02:48:00,18.1,45.0,796.299999999749,2302.80000000064,98.6,123.600000002,0.00611829726,1283.9346919408986
SKW-15,SKW-15,2025-07-28 02:50:00,18.3,45.0,797.400000000528,2304.30000000025,98.700000008,121.800000002,0.00611829726,1282.6346677942242
SKW-15,SKW-15,2025-07-28 02:53:00,20.3,45.0,797.500000000599,2306.10000000007,98.799999998,120.700000004,0.00611829726,1387.719132000067
